================================================================================
PLATFORM SURVEILLANCE SYSTEM - LOG FILE
================================================================================
Start Time: 2026-04-04 16:36:47.167797
Log Folder: MarvellousLogs
Monitoring Interval: 10 minute(s)
================================================================================


********************************************************************************
MONITORING CYCLE #1
Cycle Start Time: 2026-04-04 16:36:47.167797
********************************************************************************


================================================================================
[FUNCTION: thread_monitoring] - Execution Time: 2026-04-04 16:36:47.168800
================================================================================
Thread Monitoring Report
Process Name                   PID        Thread Count   
python.exe                     10244      6              
MoUsoCoreWorker.exe            10260      7              
RuntimeBroker.exe              10276      2              
svchost.exe                    10604      3              
svchost.exe                    10828      2              
ctfmon.exe                     10844      11             
SecurityHealthSystray.exe      10868      1              
RuntimeBroker.exe              10876      14             
svchost.exe                    11076      8              
TextInputHost.exe              11156      10             
powershell.exe                 11164      11             
powershell.exe                 11520      16             
svchost.exe                    11816      4              
svchost.exe                    12004      3              
Code.exe                       12132      19             
powershell.exe                 12368      11             
Code.exe                       12444      27             
taskhostw.exe                  12564      3              
conhost.exe                    12604      2              
RuntimeBroker.exe              12624      2              
PhoneExperienceHost.exe        12720      16             
msedgewebview2.exe             12800      12             
igfxext.exe                    12932      2              
msedgewebview2.exe             12992      23             
msedgewebview2.exe             13020      22             
SearchApp.exe                  13176      59             
brave.exe                      13232      19             
RAVCpl64.exe                   13252      6              
DolbyDAX2API.exe               13280      8              
svchost.exe                    13404      2              
Code.exe                       13564      7              
msedgewebview2.exe             13608      25             
brave.exe                      13740      21             
Code.exe                       13808      17             
brave.exe                      13812      19             
ShellExperienceHost.exe        13840      30             
pet.exe                        13884      9              
Code.exe                       13900      20             
RuntimeBroker.exe              13960      12             
Code.exe                       14200      35             
conhost.exe                    14256      5              
ApplicationFrameHost.exe       14276      2              
Code.exe                       14316      26             
SystemSettings.exe             14332      19             
python.exe                     14472      6              
brave.exe                      14620      18             
brave.exe                      14812      12             
brave.exe                      14872      19             
OneDrive.Sync.Service.exe      14888      24             
Code.exe                       14904      20             
brave.exe                      15012      19             
brave.exe                      15068      19             
conhost.exe                    15284      5              
brave.exe                      15288      19             
conhost.exe                    15384      2              
CompPkgSrv.exe                 15388      1              
brave.exe                      15472      19             
brave.exe                      15492      20             
brave.exe                      15760      19             
brave.exe                      15812      22             
brave.exe                      15908      10             
brave.exe                      15916      10             
EpicGamesLauncher.exe          16080      60             
brave.exe                      16184      19             
Code.exe                       16464      12             
brave.exe                      16468      20             
Code.exe                       16560      8              
brave.exe                      16752      22             
brave.exe                      16888      19             
powershell.exe                 17336      11             
svchost.exe                    17544      5              
pet.exe                        18524      9              
brave.exe                      18544      19             
pet.exe                        18736      9              
svchost.exe                    18812      5              
brave.exe                      18944      19             
EpicOnlineServicesUserHelper.exe 19056      13             
brave.exe                      19096      18             
EpicWebHelper.exe              19240      16             
brave.exe                      19384      19             
brave.exe                      19448      19             
brave.exe                      19540      18             
python.exe                     19544      4              
conhost.exe                    19712      3              
EpicWebHelper.exe              19884      11             
svchost.exe                    19936      5              
Code.exe                       19956      31             
EpicWebHelper.exe              20020      8              
brave.exe                      20412      19             
Code.exe                       21192      8              
svchost.exe                    21360      3              
